epoch,lr,train_loss,train_acc,train_grad_norm,val_loss,val_acc,prune_step,pruned_now,mask_sparsity,epoch_time_sec,elapsed_time_sec,time_to_acc_sec,time_to_acc_epoch,epoch_peak_rss_mb,epoch_end_rss_mb,sys_used_mb,sys_avail_mb,total_params,nnz_params,nnz_ratio
1,0.0009938441702975688,0.5260642929783574,0.8083518518518519,1.4471945433190074,0.3855160495440165,0.8508333333333333,0,0.0,0.0,8.695605666842312,8.695608166977763,,,453.9375,453.96875,6334.234375,6794.640625,269322,269322,1.0
2,0.0009755282581475768,0.3832396656848766,0.8597037037037037,1.1244298255419574,0.3591005405584971,0.8668333333333333,0,0.0,0.0,7.607958416920155,16.332179374992847,,,465.75,465.75,6372.75,6762.203125,269322,269322,1.0
3,0.0009455032620941839,0.350653953773004,0.8703518518518518,1.08717755448647,0.32139149761199953,0.8835,0,0.0,0.0,7.273965208092704,23.61052866699174,,,467.40625,467.40625,6310.734375,6840.96875,269322,269322,1.0
4,0.0009045084971874737,0.3242035643789503,0.8807407407407407,1.0261613986970775,0.31030055848757426,0.886,0,0.0,0.0,7.597779415780678,31.212288334034383,,,469.109375,469.109375,6480.296875,6673.015625,269322,269322,1.0
5,0.0008535533905932737,0.3084536088837518,0.8848333333333334,1.0013623043507018,0.3418241631189982,0.8716666666666667,0,0.0,0.0,7.3849633750505745,38.601189584005624,,,471.140625,471.140625,6614.0,6537.1875,269322,269322,1.0
6,0.0007938926261462366,0.29170187078581916,0.8916481481481482,0.9585218992165708,0.30482545590400695,0.8883333333333333,0,0.0,0.0,7.630813166964799,46.23438391694799,,,472.296875,472.296875,6697.421875,6466.953125,269322,269322,1.0
7,0.0007269952498697733,0.2760982506804996,0.8973518518518518,0.959595661720869,0.2968012923399607,0.8945,0,0.0,0.0,7.293741000117734,53.53212320897728,,,474.203125,474.203125,6649.859375,6514.546875,269322,269322,1.0
8,0.0006545084971874737,0.2645099091529846,0.9009074074074074,0.9319272962749459,0.3020583888689677,0.888,0,0.0,0.0,7.215797874843702,60.751761874882504,,,475.8125,475.8125,6750.90625,6416.34375,269322,269322,1.0
9,0.0005782172325201155,0.2530873921094117,0.904537037037037,0.9249192145687594,0.29517514260609945,0.8918333333333334,0,0.0,0.0,7.164791458053514,67.91903091687709,,,477.03125,477.03125,6765.84375,6408.359375,269322,269322,1.0
10,0.0005,0.2409535197461093,0.9091296296296296,0.8989495114750538,0.2927190625270208,0.8946666666666667,0,0.0,0.0,7.254483999917284,75.17598137492314,,,478.1875,478.1875,7059.171875,6150.453125,269322,269322,1.0
11,0.0004217827674798847,0.22750739255657904,0.915037037037037,0.8883185181446714,0.2871358465353648,0.8946666666666667,0,0.0,0.0,7.3656250410713255,82.54576337500475,,,479.3125,479.3125,7378.71875,5831.125,269322,269322,1.0
12,0.00034549150281252633,0.21469395822507364,0.9197777777777778,0.8644746546553328,0.28202051373322806,0.8956666666666667,0,0.0,0.0,7.412217375123873,89.96021691686474,,,480.453125,480.453125,7431.515625,5778.765625,269322,269322,1.0
13,0.00027300475013022663,0.20451510885468235,0.9231851851851852,0.86875953198198,0.27763168728351595,0.9036666666666666,0,0.0,0.0,7.968051583040506,97.93217574991286,97.93217574991286,13,481.625,481.625,7645.796875,5742.484375,269322,269322,1.0
14,0.00020610737385376348,0.19565540028059925,0.9271481481481482,0.8530309478862427,0.2751393821239471,0.9041666666666667,0,0.0,0.0,7.187856708886102,105.1241206668783,97.93217574991286,13,483.09375,483.09375,7653.90625,5733.6875,269322,269322,1.0
15,0.00014644660940672625,0.18587333552263402,0.9303333333333333,0.8523217553006525,0.2771222606897354,0.9036666666666666,0,0.0,0.0,7.241453499998897,112.36946191708557,97.93217574991286,13,485.03125,485.03125,7645.8125,5751.671875,269322,269322,1.0
16,9.549150281252631e-05,0.17515958144046642,0.9336296296296296,0.8419462018521192,0.27884215966860454,0.906,0,0.0,0.0,7.293377833906561,119.66543000005186,97.93217574991286,13,486.09375,486.09375,7553.546875,5845.5625,269322,269322,1.0
17,5.4496737905816096e-05,0.16957414665487078,0.9363148148148148,0.8430137489037091,0.2777300910949707,0.9048333333333334,0,0.0,0.0,7.3519766251556575,127.02201337506995,97.93217574991286,13,487.984375,487.984375,7538.53125,5860.75,269322,269322,1.0
18,2.447174185242323e-05,0.1644130325096625,0.9385555555555556,0.8280993050239464,0.2745765213171641,0.9081666666666667,0,0.0,0.0,7.189875582931563,134.21477187494747,97.93217574991286,13,489.140625,489.140625,7560.078125,5840.015625,269322,269322,1.0
19,6.15582970243117e-06,0.16094362897784623,0.9401111111111111,0.8172878340552645,0.27424042411645255,0.9091666666666667,0,0.0,0.0,7.169790708925575,141.38863529195078,97.93217574991286,13,490.296875,490.296875,7511.453125,5889.640625,269322,269322,1.0
20,0.0,0.15949824387497372,0.9411111111111111,0.8184134596447152,0.2743817362387975,0.9088333333333334,0,0.0,0.0,7.093914582859725,148.4863285839092,97.93217574991286,13,491.453125,491.453125,7495.78125,5906.328125,269322,269322,1.0
